congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
115,House,1083,2018-07-25,2,376,242,176,-0.319,0.7190000000000001,-0.6859999999999999,-1.063,-23.6,HR6311,Passed,Increasing Access to Lower Premium Plans and Expanding Health Savings Accounts Act of 2018,On Passage,
115,House,1084,2018-07-25,2,377,277,142,-0.34600000000000003,0.938,-0.34700000000000003,-0.16699999999999998,-79.376,HR6199,Passed,Restoring Access to Medication Act,On Passage,
115,House,1085,2018-07-26,2,378,226,183,0.209,-0.978,-0.6509999999999999,-0.745,-9.214,HRES1027,Passed,"Providing for consideration of the conference report to accompany H.R. 5515, to authorize appropriations for fiscal year 2019 for military activities of the Department of Defense, military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for the fiscal year",On Ordering the Previous Question,
115,House,1086,2018-07-26,2,379,359,54,-0.502,-0.14800000000000002,-0.32299999999999995,-1.5719999999999998,-63.151,HR5515,Passed,National Defense Authorization Act FY 2019,On Agreeing to the Conference Report,
115,House,1087,2018-09-04,2,380,171,221,0.031,0.05,0.715,-0.099,-0.275,HR6157,Failed,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2019, and for other purposes",On Motion to Instruct Conferees,
115,House,1088,2018-09-04,2,381,272,119,-0.569,0.8220000000000001,-0.39299999999999996,-0.6859999999999999,-86.87,HR6439,Passed,Biometric Identification Transnational Migration Alert Program Authorization Act,On Motion to Suspend the Rules and Pass,
115,House,1089,2018-09-05,2,382,221,186,0.031,0.045,-0.715,0.102,-0.27399999999999997,HRES1049,Passed,Providing for consideration of the bill (H.R. 1635) Empowering Students Through Enhanced Financial Counseling Act and providing for consideration of the bill (H.R. 4606) Ensuring Small Scale LNG Certainty and Access Act,On Ordering the Previous Question,
115,House,1090,2018-09-05,2,383,224,180,-0.034,-0.154,-0.7020000000000001,-0.38799999999999996,-5.195,HRES1049,Passed,Providing for consideration of the bill (H.R. 1635) Empowering Students Through Enhanced Financial Counseling Act and providing for consideration of the bill (H.R. 4606) Ensuring Small Scale LNG Certainty and Access Act,On Agreeing to the Resolution,
115,House,1091,2018-09-05,2,384,187,224,-0.132,0.991,0.645,0.721,-8.535,HR1635,Failed,Empowering Students Through Enhanced Financial Counseling Act,On Motion to Recommit with Instructions,
115,House,1092,2018-09-05,2,385,406,4,0.0,0.0,0.0,0.0,0.0,HR1635,Passed,Empowering Students Through Enhanced Financial Counseling Act,On Passage,
